Date,Open,High,Low,Close,Adj Close,Volume
2019-09-17,0.416009,0.416009,0.087753,0.090177,0.090177,10855378
2019-09-18,0.090519,0.100272,0.080045,0.086921,0.086921,14772274
2019-09-19,0.087702,0.087721,0.054469,0.057924,0.057924,27324784
2019-09-20,0.058087,0.059061,0.047800,0.052490,0.052490,15814443
2019-09-21,0.052402,0.055408,0.045456,0.048021,0.048021,13144171
2019-09-22,0.048065,0.048237,0.038757,0.039735,0.039735,10549578
2019-09-23,0.039739,0.039803,0.035488,0.037645,0.037645,11214860
2019-09-24,0.037689,0.043997,0.029084,0.029641,0.029641,12197101
2019-09-25,0.029515,0.031111,0.025871,0.030202,0.030202,8906428
2019-09-26,0.030204,0.031022,0.027305,0.028966,0.028966,5190095
2019-09-27,0.028966,0.037203,0.028101,0.036991,0.036991,11853816
2019-09-28,0.037237,0.041804,0.037237,0.039928,0.039928,11250683
2019-09-29,0.039813,0.041454,0.032223,0.035776,0.035776,13731231
2019-09-30,0.035776,0.043036,0.035103,0.038021,0.038021,20942700
2019-10-01,0.037960,0.039749,0.036967,0.038491,0.038491,7928612
2019-10-02,0.038491,0.039537,0.035993,0.037578,0.037578,5630019
2019-10-03,0.037578,0.039177,0.036504,0.037682,0.037682,5937607
2019-10-04,0.037681,0.039019,0.036788,0.038763,0.038763,5625637
2019-10-05,0.038763,0.042647,0.038763,0.041894,0.041894,11880918
2019-10-06,0.041844,0.041916,0.037880,0.038410,0.038410,4268439
2019-10-07,0.038340,0.038870,0.036291,0.038178,0.038178,4898706
2019-10-08,0.038180,0.039060,0.037128,0.038802,0.038802,3923517
2019-10-09,0.038765,0.039741,0.038298,0.039021,0.039021,4648692
2019-10-10,0.038997,0.039014,0.036855,0.038340,0.038340,3263875
2019-10-11,0.038224,0.038311,0.035473,0.036064,0.036064,3022574
2019-10-12,0.036091,0.036262,0.034779,0.034988,0.034988,2184305
2019-10-13,0.035014,0.035359,0.033002,0.033109,0.033109,2458017
2019-10-14,0.033109,0.037750,0.032373,0.037348,0.037348,5504883
2019-10-15,0.037063,0.040378,0.035685,0.037829,0.037829,5756021
2019-10-16,0.037829,0.038632,0.035194,0.037631,0.037631,5250770
2019-10-17,0.037595,0.037595,0.034178,0.035072,0.035072,3692976
2019-10-18,0.035053,0.036061,0.033457,0.033873,0.033873,3286417
2019-10-19,0.033835,0.034531,0.032917,0.033564,0.033564,2228299
2019-10-20,0.033519,0.033952,0.032532,0.032826,0.032826,2175117
2019-10-21,0.032921,0.034410,0.032771,0.033216,0.033216,2536833
2019-10-22,0.033191,0.033366,0.031553,0.031553,0.031553,3346363
2019-10-23,0.031548,0.031685,0.027170,0.028082,0.028082,4196944
2019-10-24,0.028064,0.029595,0.026927,0.028932,0.028932,3089111
2019-10-25,0.028932,0.030998,0.028377,0.030687,0.030687,5065332
